# Local self energy at imaginary frequency
# [Column] Data
# [1] Frequency
# [2] Re(Sigma_{shell=0, spin=up, 0, 0})
# [3] Im(Sigma_{shell=0, spin=up, 0, 0})
# [4] Re(Sigma_{shell=0, spin=down, 0, 0})
# [5] Im(Sigma_{shell=0, spin=down, 0, 0})
-139.408174 0.999987 0.007173 0.999987 0.007173 
-139.251094 0.999987 0.007181 0.999987 0.007181 
-139.094015 0.999987 0.007189 0.999987 0.007189 
-138.936935 0.999987 0.007197 0.999987 0.007197 
-138.779855 0.999987 0.007206 0.999987 0.007206 
-138.622776 0.999987 0.007214 0.999987 0.007214 
-138.465696 0.999987 0.007222 0.999987 0.007222 
-138.308617 0.999987 0.007230 0.999987 0.007230 
-138.151537 0.999986 0.007238 0.999986 0.007238 
-137.994457 0.999986 0.007247 0.999986 0.007247 
-137.837378 0.999986 0.007255 0.999986 0.007255 
-137.680298 0.999986 0.007263 0.999986 0.007263 
-137.523218 0.999986 0.007271 0.999986 0.007271 
-137.366139 0.999986 0.007280 0.999986 0.007280 
-137.209059 0.999986 0.007288 0.999986 0.007288 
-137.051980 0.999986 0.007296 0.999986 0.007296 
-136.894900 0.999986 0.007305 0.999986 0.007305 
-136.737820 0.999986 0.007313 0.999986 0.007313 
-136.580741 0.999986 0.007322 0.999986 0.007322 
-136.423661 0.999986 0.007330 0.999986 0.007330 
-136.266581 0.999986 0.007339 0.999986 0.007339 
-136.109502 0.999986 0.007347 0.999986 0.007347 
-135.952422 0.999986 0.007355 0.999986 0.007355 
-135.795342 0.999986 0.007364 0.999986 0.007364 
-135.638263 0.999986 0.007373 0.999986 0.007373 
-135.481183 0.999986 0.007381 0.999986 0.007381 
-135.324104 0.999986 0.007390 0.999986 0.007390 
-135.167024 0.999986 0.007398 0.999986 0.007398 
-135.009944 0.999986 0.007407 0.999986 0.007407 
-134.852865 0.999986 0.007415 0.999986 0.007415 
-134.695785 0.999986 0.007424 0.999986 0.007424 
-134.538705 0.999986 0.007433 0.999986 0.007433 
-134.381626 0.999986 0.007441 0.999986 0.007441 
-134.224546 0.999986 0.007450 0.999986 0.007450 
-134.067466 0.999986 0.007459 0.999986 0.007459 
