# Local self energy at real frequency
# [Column] Data
# [1] Frequency
# [2] Re(Sigma_{shell=0, spin=up, 0, 0})
# [3] Im(Sigma_{shell=0, spin=up, 0, 0})
# [4] Re(Sigma_{shell=0, spin=down, 0, 0})
# [5] Im(Sigma_{shell=0, spin=down, 0, 0})
-2.850000 2.309247 -1.060689 2.309247 -1.060689 
-2.820000 2.320827 -1.049216 2.320827 -1.049216 
-2.790000 2.332054 -1.037439 2.332054 -1.037439 
-2.760000 2.342917 -1.025371 2.342917 -1.025371 
-2.730000 2.353406 -1.013027 2.353406 -1.013027 
-2.700000 2.363513 -1.000422 2.363513 -1.000422 
-2.670000 2.373228 -0.987570 2.373228 -0.987570 
-2.640000 2.382545 -0.974487 2.382545 -0.974487 
-2.610000 2.391456 -0.961188 2.391456 -0.961188 
-2.580000 2.399956 -0.947690 2.399956 -0.947690 
-2.550000 2.408039 -0.934007 2.408039 -0.934007 
-2.520000 2.415701 -0.920156 2.415701 -0.920156 
-2.490000 2.422939 -0.906153 2.422939 -0.906153 
-2.460000 2.429749 -0.892014 2.429749 -0.892014 
-2.430000 2.436129 -0.877754 2.436129 -0.877754 
-2.400000 2.442079 -0.863390 2.442079 -0.863390 
-2.370000 2.447597 -0.848938 2.447597 -0.848938 
-2.340000 2.452683 -0.834411 2.452683 -0.834411 
-2.310000 2.457339 -0.819827 2.457339 -0.819827 
-2.280000 2.461565 -0.805200 2.461565 -0.805200 
-2.250000 2.465364 -0.790545 2.465364 -0.790545 
-2.220000 2.468739 -0.775876 2.468739 -0.775876 
-2.190000 2.471692 -0.761208 2.471692 -0.761208 
-2.160000 2.474227 -0.746554 2.474227 -0.746554 
-2.130000 2.476349 -0.731928 2.476349 -0.731928 
-2.100000 2.478062 -0.717342 2.478062 -0.717342 
-2.070000 2.479372 -0.702810 2.479372 -0.702810 
-2.040000 2.480284 -0.688343 2.480284 -0.688343 
-2.010000 2.480804 -0.673953 2.480804 -0.673953 
-1.980000 2.480939 -0.659651 2.480939 -0.659651 
-1.950000 2.480695 -0.645449 2.480695 -0.645449 
-1.920000 2.480079 -0.631357 2.480079 -0.631357 
-1.890000 2.479098 -0.617383 2.479098 -0.617383 
-1.860000 2.477761 -0.603539 2.477761 -0.603539 
-1.830000 2.476074 -0.589833 2.476074 -0.589833 
-1.800000 2.474046 -0.576273 2.474046 -0.576273 
-1.770000 2.471684 -0.562867 2.471684 -0.562867 
-1.740000 2.468996 -0.549624 2.468996 -0.549624 
-1.710000 2.465991 -0.536549 2.465991 -0.536549 
-1.680000 2.462677 -0.523650 2.462677 -0.523650 
-1.650000 2.459062 -0.510933 2.459062 -0.510933 
-1.620000 2.455154 -0.498405 2.455154 -0.498405 
-1.590000 2.450962 -0.486069 2.450962 -0.486069 
-1.560000 2.446494 -0.473932 2.446494 -0.473932 
-1.530000 2.441759 -0.461998 2.441759 -0.461998 
-1.500000 2.436764 -0.450271 2.436764 -0.450271 
-1.470000 2.431518 -0.438756 2.431518 -0.438756 
-1.440000 2.426028 -0.427456 2.426028 -0.427456 
-1.410000 2.420303 -0.416374 2.420303 -0.416374 
-1.380000 2.414351 -0.405513 2.414351 -0.405513 
-1.350000 2.408180 -0.394876 2.408180 -0.394876 
-1.320000 2.401796 -0.384466 2.401796 -0.384466 
-1.290000 2.395208 -0.374284 2.395208 -0.374284 
-1.260000 2.388423 -0.364332 2.388423 -0.364332 
-1.230000 2.381448 -0.354612 2.381448 -0.354612 
-1.200000 2.374290 -0.345126 2.374290 -0.345126 
-1.170000 2.366956 -0.335875 2.366956 -0.335875 
-1.140000 2.359454 -0.326859 2.359454 -0.326859 
-1.110000 2.351789 -0.318079 2.351789 -0.318079 
-1.080000 2.343968 -0.309537 2.343968 -0.309537 
-1.050000 2.335997 -0.301233 2.335997 -0.301233 
-1.020000 2.327883 -0.293167 2.327883 -0.293167 
-0.990000 2.319632 -0.285339 2.319632 -0.285339 
-0.960000 2.311249 -0.277749 2.311249 -0.277749 
-0.930000 2.302740 -0.270399 2.302740 -0.270399 
-0.900000 2.294110 -0.263286 2.294110 -0.263286 
-0.870000 2.285365 -0.256412 2.285365 -0.256412 
-0.840000 2.276511 -0.249776 2.276511 -0.249776 
