# [1] Energy
# [2] Total DOS of spin up
# [3] Total DOS of spin down
# [4] PDOS of shell0,spin up,band0
# [5] PDOS of shell0,spin down,band0
-2.400000 0.079959 0.079959 0.079959 0.079959
-2.370000 0.080539 0.080539 0.080539 0.080539
-2.340000 0.081103 0.081103 0.081103 0.081103
-2.310000 0.081651 0.081651 0.081651 0.081651
-2.280000 0.082178 0.082178 0.082178 0.082178
-2.250000 0.082683 0.082683 0.082683 0.082683
-2.220000 0.083163 0.083163 0.083163 0.083163
-2.190000 0.083618 0.083618 0.083618 0.083618
-2.160000 0.084047 0.084047 0.084047 0.084047
-2.130000 0.084452 0.084452 0.084452 0.084452
-2.100000 0.084838 0.084838 0.084838 0.084838
-2.070000 0.085210 0.085210 0.085210 0.085210
-2.040000 0.085580 0.085580 0.085580 0.085580
-2.010000 0.085960 0.085960 0.085960 0.085960
-1.980000 0.086368 0.086368 0.086368 0.086368
-1.950000 0.086825 0.086825 0.086825 0.086825
-1.920000 0.087355 0.087355 0.087355 0.087355
-1.890000 0.087984 0.087984 0.087984 0.087984
-1.860000 0.088739 0.088739 0.088739 0.088739
-1.830000 0.089648 0.089648 0.089648 0.089648
-1.800000 0.090736 0.090736 0.090736 0.090736
-1.770000 0.092025 0.092025 0.092025 0.092025
-1.740000 0.093529 0.093529 0.093529 0.093529
-1.710000 0.095253 0.095253 0.095253 0.095253
-1.680000 0.097189 0.097189 0.097189 0.097189
-1.650000 0.099313 0.099313 0.099313 0.099313
-1.620000 0.101584 0.101584 0.101584 0.101584
-1.590000 0.103943 0.103943 0.103943 0.103943
-1.560000 0.106318 0.106318 0.106318 0.106318
-1.530000 0.108635 0.108635 0.108635 0.108635
-1.500000 0.110831 0.110831 0.110831 0.110831
-1.470000 0.112874 0.112874 0.112874 0.112874
-1.440000 0.114783 0.114783 0.114783 0.114783
-1.410000 0.116643 0.116643 0.116643 0.116643
-1.380000 0.118601 0.118601 0.118601 0.118601
-1.350000 0.120858 0.120858 0.120858 0.120858
-1.320000 0.123644 0.123644 0.123644 0.123644
-1.290000 0.127187 0.127187 0.127187 0.127187
-1.260000 0.131673 0.131673 0.131673 0.131673
-1.230000 0.137200 0.137200 0.137200 0.137200
-1.200000 0.143722 0.143722 0.143722 0.143722
-1.170000 0.150968 0.150968 0.150968 0.150968
-1.140000 0.158360 0.158360 0.158360 0.158360
-1.110000 0.164968 0.164968 0.164968 0.164968
-1.080000 0.169577 0.169577 0.169577 0.169577
-1.050000 0.170957 0.170957 0.170957 0.170957
-1.020000 0.168293 0.168293 0.168293 0.168293
-0.990000 0.161575 0.161575 0.161575 0.161575
-0.960000 0.151657 0.151657 0.151657 0.151657
