# [1] Energy
# [2] Total DOS of spin up
# [3] Total DOS of spin down
# [4] PDOS of shell0,spin up,band0
# [5] PDOS of shell0,spin down,band0
-2.400000 0.081515 0.081515 0.081515 0.081515
-2.370000 0.082010 0.082010 0.082010 0.082010
-2.340000 0.082473 0.082473 0.082473 0.082473
-2.310000 0.082904 0.082904 0.082904 0.082904
-2.280000 0.083301 0.083301 0.083301 0.083301
-2.250000 0.083667 0.083667 0.083667 0.083667
-2.220000 0.084003 0.084003 0.084003 0.084003
-2.190000 0.084316 0.084316 0.084316 0.084316
-2.160000 0.084612 0.084612 0.084612 0.084612
-2.130000 0.084899 0.084899 0.084899 0.084899
-2.100000 0.085190 0.085190 0.085190 0.085190
-2.070000 0.085499 0.085499 0.085499 0.085499
-2.040000 0.085842 0.085842 0.085842 0.085842
-2.010000 0.086236 0.086236 0.086236 0.086236
-1.980000 0.086700 0.086700 0.086700 0.086700
-1.950000 0.087253 0.087253 0.087253 0.087253
-1.920000 0.087916 0.087916 0.087916 0.087916
-1.890000 0.088708 0.088708 0.088708 0.088708
-1.860000 0.089644 0.089644 0.089644 0.089644
-1.830000 0.090740 0.090740 0.090740 0.090740
-1.800000 0.092006 0.092006 0.092006 0.092006
-1.770000 0.093447 0.093447 0.093447 0.093447
-1.740000 0.095062 0.095062 0.095062 0.095062
-1.710000 0.096840 0.096840 0.096840 0.096840
-1.680000 0.098764 0.098764 0.098764 0.098764
-1.650000 0.100803 0.100803 0.100803 0.100803
-1.620000 0.102919 0.102919 0.102919 0.102919
-1.590000 0.105067 0.105067 0.105067 0.105067
-1.560000 0.107197 0.107197 0.107197 0.107197
-1.530000 0.109265 0.109265 0.109265 0.109265
-1.500000 0.111242 0.111242 0.111242 0.111242
-1.470000 0.113121 0.113121 0.113121 0.113121
-1.440000 0.114932 0.114932 0.114932 0.114932
-1.410000 0.116745 0.116745 0.116745 0.116745
-1.380000 0.118668 0.118668 0.118668 0.118668
-1.350000 0.120845 0.120845 0.120845 0.120845
-1.320000 0.123441 0.123441 0.123441 0.123441
-1.290000 0.126625 0.126625 0.126625 0.126625
-1.260000 0.130544 0.130544 0.130544 0.130544
-1.230000 0.135301 0.135301 0.135301 0.135301
-1.200000 0.140908 0.140908 0.140908 0.140908
-1.170000 0.147239 0.147239 0.147239 0.147239
-1.140000 0.153967 0.153967 0.153967 0.153967
-1.110000 0.160497 0.160497 0.160497 0.160497
-1.080000 0.165954 0.165954 0.165954 0.165954
-1.050000 0.169268 0.169268 0.169268 0.169268
-1.020000 0.169417 0.169417 0.169417 0.169417
-0.990000 0.165786 0.165786 0.165786 0.165786
-0.960000 0.158461 0.158461 0.158461 0.158461
-0.930000 0.148255 0.148255 0.148255 0.148255
-0.900000 0.136428 0.136428 0.136428 0.136428
-0.870000 0.124278 0.124278 0.124278 0.124278
-0.840000 0.112838 0.112838 0.112838 0.112838
-0.810000 0.102771 0.102771 0.102771 0.102771
-0.780000 0.094418 0.094418 0.094418 0.094418
-0.750000 0.087906 0.087906 0.087906 0.087906
-0.720000 0.083262 0.083262 0.083262 0.083262
-0.690000 0.080497 0.080497 0.080497 0.080497
-0.660000 0.079672 0.079672 0.079672 0.079672
-0.630000 0.080961 0.080961 0.080961 0.080961
-0.600000 0.084700 0.084700 0.084700 0.084700
-0.570000 0.091453 0.091453 0.091453 0.091453
-0.540000 0.102039 0.102039 0.102039 0.102039
-0.510000 0.117376 0.117376 0.117376 0.117376
-0.480000 0.137659 0.137659 0.137659 0.137659
-0.450000 0.160051 0.160051 0.160051 0.160051
-0.420000 0.175792 0.175792 0.175792 0.175792
-0.390000 0.174411 0.174411 0.174411 0.174411
-0.360000 0.156986 0.156986 0.156986 0.156986
-0.330000 0.135594 0.135594 0.135594 0.135594
-0.300000 0.119404 0.119404 0.119404 0.119404
-0.270000 0.111097 0.111097 0.111097 0.111097
-0.240000 0.110657 0.110657 0.110657 0.110657
-0.210000 0.118138 0.118138 0.118138 0.118138
