# Local self energy at imaginary frequency
# [Column] Data
# [1] Frequency
# [2] Re(Sigma_{shell=0, spin=up, 0, 0})
# [3] Im(Sigma_{shell=0, spin=up, 0, 0})
# [4] Re(Sigma_{shell=0, spin=down, 0, 0})
# [5] Im(Sigma_{shell=0, spin=down, 0, 0})
-5.808804816487527e+02 1.999975764025559e+00 6.965677262724262e-03 1.999975741224068e+00 6.965677266956738e-03 
-5.802521631180348e+02 1.999975764023630e+00 6.973045555326574e-03 1.999975741222139e+00 6.973045559823032e-03 
-5.796238445873169e+02 1.999975764021695e+00 6.980430007256816e-03 1.999975741220203e+00 6.980430011664207e-03 
-5.789955260565989e+02 1.999975764019753e+00 6.987830670326628e-03 1.999975741218262e+00 6.987830674638540e-03 
-5.783672075258809e+02 1.999975764017805e+00 6.995247597964910e-03 1.999975741216314e+00 6.995247602507082e-03 
-5.777388889951629e+02 1.999975764015850e+00 7.002680842987025e-03 1.999975741214359e+00 7.002680847459808e-03 
-5.771105704644450e+02 1.999975764013890e+00 7.010130459004837e-03 1.999975741212398e+00 7.010130463195929e-03 
-5.764822519337271e+02 1.999975764011923e+00 7.017596498992251e-03 1.999975741210431e+00 7.017596503129997e-03 
-5.758539334030090e+02 1.999975764009949e+00 7.025079016713315e-03 1.999975741208458e+00 7.025079021119013e-03 
-5.752256148722911e+02 1.999975764007969e+00 7.032578066624162e-03 1.999975741206477e+00 7.032578070851975e-03 
-5.745972963415732e+02 1.999975764005982e+00 7.040093702628397e-03 1.999975741204490e+00 7.040093706936229e-03 
-5.739689778108552e+02 1.999975764003989e+00 7.047625979331451e-03 1.999975741202497e+00 7.047625983579220e-03 
-5.733406592801373e+02 1.999975764001989e+00 7.055174951207305e-03 1.999975741200497e+00 7.055174955683419e-03 
-5.727123407494192e+02 1.999975763999982e+00 7.062740673385415e-03 1.999975741198491e+00 7.062740677958368e-03 
-5.720840222187013e+02 1.999975763997969e+00 7.070323200986439e-03 1.999975741196478e+00 7.070323205262241e-03 
-5.714557036879834e+02 1.999975763995950e+00 7.077922589529217e-03 1.999975741194459e+00 7.077922593801272e-03 
-5.708273851572654e+02 1.999975763993923e+00 7.085538894396892e-03 1.999975741192432e+00 7.085538898881222e-03 
-5.701990666265475e+02 1.999975763991891e+00 7.093172171694140e-03 1.999975741190399e+00 7.093172175882984e-03 
-5.695707480958295e+02 1.999975763989851e+00 7.100822477344559e-03 1.999975741188359e+00 7.100822481909047e-03 
-5.689424295651115e+02 1.999975763987805e+00 7.108489868251300e-03 1.999975741186313e+00 7.108489872769214e-03 
-5.683141110343936e+02 1.999975763985752e+00 7.116174400691150e-03 1.999975741184260e+00 7.116174404919212e-03 
-5.676857925036757e+02 1.999975763983691e+00 7.123876131458179e-03 1.999975741182200e+00 7.123876135863211e-03 
-5.670574739729576e+02 1.999975763981624e+00 7.131595118053335e-03 1.999975741180132e+00 7.131595122481571e-03 
-5.664291554422397e+02 1.999975763979551e+00 7.139331417445161e-03 1.999975741178059e+00 7.139331421854189e-03 
-5.658008369115217e+02 1.999975763977470e+00 7.147085087809285e-03 1.999975741175978e+00 7.147085092118755e-03 
-5.651725183808038e+02 1.999975763975382e+00 7.154856186852798e-03 1.999975741173891e+00 7.154856191091102e-03 
-5.645441998500859e+02 1.999975763973287e+00 7.162644772507609e-03 1.999975741171796e+00 7.162644776654986e-03 
-5.639158813193678e+02 1.999975763971186e+00 7.170450903190240e-03 1.999975741169694e+00 7.170450907539566e-03 
-5.632875627886499e+02 1.999975763969078e+00 7.178274638407089e-03 1.999975741167585e+00 7.178274642613364e-03 
-5.626592442579320e+02 1.999975763966962e+00 7.186116036205337e-03 1.999975741165470e+00 7.186116040329760e-03 
-5.620309257272140e+02 1.999975763964839e+00 7.193975155914273e-03 1.999975741163347e+00 7.193975160299737e-03 
-5.614026071964960e+02 1.999975763962708e+00 7.201852057527214e-03 1.999975741161216e+00 7.201852061991754e-03 
-5.607742886657780e+02 1.999975763960571e+00 7.209746800626471e-03 1.999975741159080e+00 7.209746804633155e-03 
-5.601459701350601e+02 1.999975763958427e+00 7.217659444716695e-03 1.999975741156935e+00 7.217659448820857e-03 
-5.595176516043422e+02 1.999975763956276e+00 7.225590050490588e-03 1.999975741154784e+00 7.225590054710435e-03 
-5.588893330736242e+02 1.999975763954117e+00 7.233538678650314e-03 1.999975741152624e+00 7.233538682768353e-03 
-5.582610145429062e+02 1.999975763951952e+00 7.241505389567304e-03 1.999975741150459e+00 7.241505393643793e-03 
-5.576326960121883e+02 1.999975763949777e+00 7.249490245075929e-03 1.999975741148285e+00 7.249490249016471e-03 
-5.570043774814703e+02 1.999975763947596e+00 7.257493305550478e-03 1.999975741146104e+00 7.257493310035751e-03 
-5.563760589507524e+02 1.999975763945408e+00 7.265514633780362e-03 1.999975741143916e+00 7.265514638093273e-03 
-5.557477404200343e+02 1.999975763943213e+00 7.273554291093665e-03 1.999975741141720e+00 7.273554295134849e-03 
-5.551194218893164e+02 1.999975763941009e+00 7.281612339554128e-03 1.999975741139516e+00 7.281612343884580e-03 
-5.544911033585985e+02 1.999975763938799e+00 7.289688842053638e-03 1.999975741137306e+00 7.289688846210424e-03 
-5.538627848278805e+02 1.999975763936580e+00 7.297783861229729e-03 1.999975741135088e+00 7.297783865282625e-03 
-5.532344662971626e+02 1.999975763934355e+00 7.305897459718436e-03 1.999975741132863e+00 7.305897463677768e-03 
-5.526061477664446e+02 1.999975763932122e+00 7.314029701700531e-03 1.999975741130630e+00 7.314029705637576e-03 
-5.519778292357266e+02 1.999975763929881e+00 7.322180650509685e-03 1.999975741128388e+00 7.322180654276284e-03 
-5.513495107050087e+02 1.999975763927632e+00 7.330350369493727e-03 1.999975741126140e+00 7.330350373643491e-03 
-5.507211921742908e+02 1.999975763925377e+00 7.338538923429921e-03 1.999975741123883e+00 7.338538927662314e-03 
-5.500928736435728e+02 1.999975763923112e+00 7.346746377023705e-03 1.999975741121620e+00 7.346746381054620e-03 
-5.494645551128548e+02 1.999975763920840e+00 7.354972794629100e-03 1.999975741119347e+00 7.354972798708309e-03 
-5.488362365821368e+02 1.999975763918560e+00 7.363218241704106e-03 1.999975741117068e+00 7.363218245664382e-03 
-5.482079180514189e+02 1.999975763916274e+00 7.371482783268019e-03 1.999975741114781e+00 7.371482787409567e-03 
-5.475795995207010e+02 1.999975763913979e+00 7.379766485409056e-03 1.999975741112485e+00 7.379766489675227e-03 
-5.469512809899829e+02 1.999975763911675e+00 7.388069413952592e-03 1.999975741110182e+00 7.388069418258453e-03 
-5.463229624592650e+02 1.999975763909363e+00 7.396391635579924e-03 1.999975741107871e+00 7.396391639490102e-03 
-5.456946439285471e+02 1.999975763907044e+00 7.404733216259313e-03 1.999975741105551e+00 7.404733220331583e-03 
-5.450663253978291e+02 1.999975763904717e+00 7.413094223459232e-03 1.999975741103225e+00 7.413094227196076e-03 
-5.444380068671112e+02 1.999975763902382e+00 7.421474723847243e-03 1.999975741100888e+00 7.421474727902777e-03 
-5.438096883363932e+02 1.999975763900038e+00 7.429874785578106e-03 1.999975741098545e+00 7.429874789790875e-03 
-5.431813698056752e+02 1.999975763897687e+00 7.438294476357910e-03 1.999975741096194e+00 7.438294480363594e-03 
-5.425530512749573e+02 1.999975763895327e+00 7.446733864186900e-03 1.999975741093834e+00 7.446733868081534e-03 
-5.419247327442393e+02 1.999975763892959e+00 7.455193017408490e-03 1.999975741091467e+00 7.455193021558809e-03 
-5.412964142135213e+02 1.999975763890583e+00 7.463672005480537e-03 1.999975741089090e+00 7.463672009498101e-03 
-5.406680956828034e+02 1.999975763888199e+00 7.472170896825420e-03 1.999975741086705e+00 7.472170900901492e-03 
-5.400397771520854e+02 1.999975763885806e+00 7.480689761095699e-03 1.999975741084313e+00 7.480689765109322e-03 
-5.394114586213675e+02 1.999975763883405e+00 7.489228668363046e-03 1.999975741081911e+00 7.489228672350468e-03 
-5.387831400906496e+02 1.999975763880995e+00 7.497787688306168e-03 1.999975741079502e+00 7.497787692456126e-03 
-5.381548215599315e+02 1.999975763878577e+00 7.506366891513017e-03 1.999975741077084e+00 7.506366895595112e-03 
-5.375265030292136e+02 1.999975763876151e+00 7.514966348992347e-03 1.999975741074657e+00 7.514966353037972e-03 
-5.368981844984957e+02 1.999975763873716e+00 7.523586131381571e-03 1.999975741072222e+00 7.523586135548377e-03 
-5.362698659677777e+02 1.999975763871272e+00 7.532226310626361e-03 1.999975741069779e+00 7.532226314579699e-03 
-5.356415474370597e+02 1.999975763868820e+00 7.540886957699083e-03 1.999975741067327e+00 7.540886961724641e-03 
-5.350132289063417e+02 1.999975763866360e+00 7.549568145668428e-03 1.999975741064866e+00 7.549568149557567e-03 
-5.343849103756238e+02 1.999975763863890e+00 7.558269946147722e-03 1.999975741062396e+00 7.558269950224433e-03 
-5.337565918449059e+02 1.999975763861412e+00 7.566992432267439e-03 1.999975741059918e+00 7.566992436240094e-03 
-5.331282733141879e+02 1.999975763858925e+00 7.575735676948164e-03 1.999975741057431e+00 7.575735681044249e-03 
-5.324999547834699e+02 1.999975763856429e+00 7.584499754024310e-03 1.999975741054935e+00 7.584499758105850e-03 
-5.318716362527520e+02 1.999975763853925e+00 7.593284736999911e-03 1.999975741052431e+00 7.593284741086864e-03 
-5.312433177220340e+02 1.999975763851410e+00 7.602090700300018e-03 1.999975741049917e+00 7.602090704258851e-03 
-5.306149991913161e+02 1.999975763848888e+00 7.610917718013005e-03 1.999975741047395e+00 7.610917721818294e-03 
-5.299866806605982e+02 1.999975763846356e+00 7.619765864944589e-03 1.999975741044863e+00 7.619765868836281e-03 
-5.293583621298801e+02 1.999975763843817e+00 7.628635216788804e-03 1.999975741042324e+00 7.628635220706503e-03 
-5.287300435991622e+02 1.999975763841267e+00 7.637525849018167e-03 1.999975741039773e+00 7.637525852912497e-03 
-5.281017250684442e+02 1.999975763838708e+00 7.646437837379366e-03 1.999975741037215e+00 7.646437841133502e-03 
-5.274734065377263e+02 1.999975763836141e+00 7.655371258266847e-03 1.999975741034647e+00 7.655371261982263e-03 
-5.268450880070083e+02 1.999975763833563e+00 7.664326188039167e-03 1.999975741032069e+00 7.664326192154874e-03 
-5.262167694762903e+02 1.999975763830977e+00 7.673302704013424e-03 1.999975741029483e+00 7.673302708153640e-03 
-5.255884509455724e+02 1.999975763828381e+00 7.682300883947862e-03 1.999975741026887e+00 7.682300887693866e-03 
-5.249601324148545e+02 1.999975763825777e+00 7.691320804787266e-03 1.999975741024282e+00 7.691320808534824e-03 
-5.243318138841365e+02 1.999975763823162e+00 7.700362545306288e-03 1.999975741021668e+00 7.700362549071277e-03 
-5.237034953534185e+02 1.999975763820539e+00 7.709426183494045e-03 1.999975741019044e+00 7.709426187496149e-03 
-5.230751768227005e+02 1.999975763817905e+00 7.718511798812833e-03 1.999975741016412e+00 7.718511802638245e-03 
-5.224468582919826e+02 1.999975763815264e+00 7.727619469929420e-03 1.999975741013769e+00 7.727619473889114e-03 
-5.218185397612647e+02 1.999975763812611e+00 7.736749277103910e-03 1.999975741011117e+00 7.736749280828681e-03 
-5.211902212305466e+02 1.999975763809949e+00 7.745901299862634e-03 1.999975741008455e+00 7.745901303781250e-03 
-5.205619026998287e+02 1.999975763807278e+00 7.755075618728235e-03 1.999975741005784e+00 7.755075622522284e-03 
-5.199335841691108e+02 1.999975763804598e+00 7.764272314616405e-03 1.999975741003102e+00 7.764272318521198e-03 
-5.193052656383928e+02 1.999975763801906e+00 7.773491468818200e-03 1.999975741000412e+00 7.773491472714666e-03 
-5.186769471076749e+02 1.999975763799206e+00 7.782733162604943e-03 1.999975740997711e+00 7.782733166400546e-03 
-5.180486285769568e+02 1.999975763796495e+00 7.791997478310414e-03 1.999975740995000e+00 7.791997482143292e-03 
-5.174203100462389e+02 1.999975763793775e+00 7.801284498117816e-03 1.999975740992280e+00 7.801284502037653e-03 
-5.167919915155210e+02 1.999975763791044e+00 7.810594304810015e-03 1.999975740989549e+00 7.810594308788582e-03 
-5.161636729848030e+02 1.999975763788304e+00 7.819926981659731e-03 1.999975740986810e+00 7.819926985463549e-03 
-5.155353544540850e+02 1.999975763785554e+00 7.829282612091842e-03 1.999975740984059e+00 7.829282615802319e-03 
-5.149070359233671e+02 1.999975763782794e+00 7.838661280120007e-03 1.999975740981299e+00 7.838661284074594e-03 
-5.142787173926491e+02 1.999975763780023e+00 7.848063070420602e-03 1.999975740978528e+00 7.848063074443856e-03 
