# [1] Energy
# [2] Total DOS of spin up
# [3] Total DOS of spin down
# [4] PDOS of shell0,spin up,band0
# [5] PDOS of shell0,spin down,band0
-2.400000 0.079715 0.079782 0.079715 0.079782
-2.370000 0.081139 0.081208 0.081139 0.081208
-2.340000 0.082461 0.082534 0.082461 0.082534
-2.310000 0.083647 0.083723 0.083647 0.083723
-2.280000 0.084605 0.084678 0.084605 0.084678
-2.250000 0.085223 0.085285 0.085223 0.085285
-2.220000 0.085429 0.085469 0.085429 0.085469
-2.190000 0.085228 0.085241 0.085228 0.085241
-2.160000 0.084723 0.084710 0.084723 0.084710
-2.130000 0.084096 0.084065 0.084096 0.084065
-2.100000 0.083564 0.083529 0.083564 0.083529
-2.070000 0.083340 0.083315 0.083340 0.083315
-2.040000 0.083603 0.083601 0.083603 0.083601
-2.010000 0.084476 0.084507 0.084476 0.084507
-1.980000 0.086029 0.086098 0.086029 0.086098
-1.950000 0.088265 0.088370 0.088265 0.088370
-1.920000 0.091124 0.091258 0.091124 0.091258
-1.890000 0.094472 0.094622 0.094472 0.094622
-1.860000 0.098112 0.098261 0.098112 0.098261
-1.830000 0.101802 0.101933 0.101802 0.101933
-1.800000 0.105314 0.105417 0.105314 0.105417
-1.770000 0.108505 0.108578 0.108505 0.108578
-1.740000 0.111380 0.111432 0.111380 0.111432
-1.710000 0.114108 0.114150 0.114108 0.114150
-1.680000 0.116965 0.117001 0.116965 0.117001
-1.650000 0.120221 0.120242 0.120221 0.120242
-1.620000 0.124015 0.123994 0.124015 0.123994
-1.590000 0.128230 0.128127 0.128230 0.128127
-1.560000 0.132419 0.132205 0.132419 0.132205
-1.530000 0.135835 0.135511 0.135835 0.135511
-1.500000 0.137628 0.137246 0.137628 0.137246
-1.470000 0.137219 0.136878 0.137219 0.136878
-1.440000 0.134679 0.134476 0.134679 0.134476
-1.410000 0.130810 0.130787 0.130810 0.130787
-1.380000 0.126851 0.126967 0.126851 0.126967
-1.350000 0.123994 0.124145 0.123994 0.124145
-1.320000 0.122987 0.123053 0.122987 0.123053
-1.290000 0.123913 0.123817 0.123913 0.123817
-1.260000 0.126150 0.125905 0.126150 0.125905
-1.230000 0.128551 0.128270 0.128551 0.128270
-1.200000 0.129777 0.129637 0.129777 0.129637
-1.170000 0.128731 0.128890 0.128731 0.128890
-1.140000 0.125169 0.125645 0.125169 0.125645
-1.110000 0.119938 0.120586 0.119938 0.120586
-1.080000 0.114412 0.115027 0.114412 0.115027
-1.050000 0.109778 0.110204 0.109778 0.110204
-1.020000 0.106708 0.106882 0.106708 0.106882
-0.990000 0.105347 0.105292 0.105347 0.105292
-0.960000 0.105473 0.105261 0.105473 0.105261
-0.930000 0.106703 0.106413 0.106703 0.106413
-0.900000 0.108647 0.108344 0.108647 0.108344
-0.870000 0.110972 0.110701 0.110972 0.110701
-0.840000 0.113413 0.113202 0.113413 0.113202
-0.810000 0.115765 0.115623 0.115765 0.115623
-0.780000 0.117872 0.117795 0.117872 0.117795
-0.750000 0.119635 0.119610 0.119635 0.119610
-0.720000 0.121021 0.121027 0.121021 0.121027
-0.690000 0.122060 0.122076 0.122060 0.122076
-0.660000 0.122847 0.122858 0.122847 0.122858
-0.630000 0.123513 0.123514 0.123513 0.123514
-0.600000 0.124207 0.124199 0.124207 0.124199
-0.570000 0.125065 0.125057 0.125065 0.125057
-0.540000 0.126195 0.126199 0.126195 0.126199
-0.510000 0.127671 0.127696 0.127671 0.127696
-0.480000 0.129530 0.129580 0.129530 0.129580
-0.450000 0.131775 0.131852 0.131775 0.131852
-0.420000 0.134389 0.134488 0.134389 0.134488
-0.390000 0.137341 0.137452 0.137341 0.137452
-0.360000 0.140605 0.140715 0.140605 0.140715
-0.330000 0.144166 0.144261 0.144166 0.144261
-0.300000 0.148037 0.148102 0.148037 0.148102
-0.270000 0.152261 0.152282 0.152261 0.152282
-0.240000 0.156915 0.156877 0.156915 0.156877
-0.210000 0.162092 0.161984 0.162092 0.161984
-0.180000 0.167877 0.167701 0.167877 0.167701
-0.150000 0.174290 0.174069 0.174290 0.174069
-0.120000 0.181189 0.180988 0.181189 0.180988
-0.090000 0.188159 0.188072 0.188159 0.188072
-0.060000 0.194417 0.194522 0.194417 0.194522
-0.030000 0.198892 0.199175 0.198892 0.199175
0.000000 0.200569 0.200890 0.200569 0.200890
0.030000 0.198997 0.199179 0.198997 0.199179
0.060000 0.194565 0.194527 0.194565 0.194527
0.090000 0.188277 0.188074 0.188277 0.188074
0.120000 0.181239 0.180987 0.181239 0.180987
