0.000000 -6.000000 0.103965
0.000000 -5.970000 0.120205
0.000000 -5.940000 0.139993
0.000000 -5.910000 0.164302
0.000000 -5.880000 0.194330
0.000000 -5.850000 0.231415
0.000000 -5.820000 0.276693
0.000000 -5.790000 0.330210
0.000000 -5.760000 0.389083
0.000000 -5.730000 0.444895
0.000000 -5.700000 0.482710
0.000000 -5.670000 0.486719
0.000000 -5.640000 0.452237
0.000000 -5.610000 0.390929
0.000000 -5.580000 0.321289
0.000000 -5.550000 0.256917
0.000000 -5.520000 0.203500
0.000000 -5.490000 0.161539
0.000000 -5.460000 0.129397
0.000000 -5.430000 0.105008
0.000000 -5.400000 0.086532
0.000000 -5.370000 0.072516
0.000000 -5.340000 0.061871
0.000000 -5.310000 0.053795
0.000000 -5.280000 0.047705
0.000000 -5.250000 0.043173
0.000000 -5.220000 0.039890
0.000000 -5.190000 0.037629
0.000000 -5.160000 0.036226
0.000000 -5.130000 0.035562
0.000000 -5.100000 0.035558
0.000000 -5.070000 0.036160
0.000000 -5.040000 0.037339
0.000000 -5.010000 0.039088
0.000000 -4.980000 0.041417
0.000000 -4.950000 0.044357
0.000000 -4.920000 0.047956
0.000000 -4.890000 0.052284
0.000000 -4.860000 0.057438
0.000000 -4.830000 0.063540
0.000000 -4.800000 0.070752
0.000000 -4.770000 0.079275
0.000000 -4.740000 0.089368
0.000000 -4.710000 0.101356
0.000000 -4.680000 0.115649
0.000000 -4.650000 0.132760
0.000000 -4.620000 0.153322
0.000000 -4.590000 0.178102
0.000000 -4.560000 0.207982
0.000000 -4.530000 0.243891
0.000000 -4.500000 0.286617
0.000000 -4.470000 0.336389
0.000000 -4.440000 0.392142
0.000000 -4.410000 0.450430
0.000000 -4.380000 0.504456
0.000000 -4.350000 0.544384
0.000000 -4.320000 0.560321
0.000000 -4.290000 0.547342
0.000000 -4.260000 0.508645
0.000000 -4.230000 0.453612
0.000000 -4.200000 0.392748
0.000000 -4.170000 0.333861
0.000000 -4.140000 0.281143
0.000000 -4.110000 0.236020
0.000000 -4.080000 0.198348
0.000000 -4.050000 0.167287
0.000000 -4.020000 0.141806
0.000000 -3.990000 0.120920
0.000000 -3.960000 0.103779
0.000000 -3.930000 0.089684
0.000000 -3.900000 0.078076
0.000000 -3.870000 0.068520
0.000000 -3.840000 0.060677
0.000000 -3.810000 0.054293
0.000000 -3.780000 0.049183
0.000000 -3.750000 0.045222
0.000000 -3.720000 0.042340
0.000000 -3.690000 0.040527
0.000000 -3.660000 0.039836
0.000000 -3.630000 0.040406
0.000000 -3.600000 0.042493
0.000000 -3.570000 0.046530
0.000000 -3.540000 0.053234
0.000000 -3.510000 0.063802
0.000000 -3.480000 0.080259
0.000000 -3.450000 0.106075
0.000000 -3.420000 0.147048
0.000000 -3.390000 0.211426
0.000000 -3.360000 0.303047
0.000000 -3.330000 0.392567
0.000000 -3.300000 0.403552
0.000000 -3.270000 0.325081
0.000000 -3.240000 0.232335
0.000000 -3.210000 0.164227
0.000000 -3.180000 0.120492
0.000000 -3.150000 0.093314
0.000000 -3.120000 0.076765
0.000000 -3.090000 0.067307
0.000000 -3.060000 0.062991
0.000000 -3.030000 0.062846
0.000000 -3.000000 0.066536
0.000000 -2.970000 0.074200
0.000000 -2.940000 0.086386
0.000000 -2.910000 0.104051
