# Local self energy at real frequency
# [Column] Data
# [1] Frequency
# [2] Re(Sigma_{shell=0, spin=up, 0, 0})
# [3] Im(Sigma_{shell=0, spin=up, 0, 0})
# [4] Re(Sigma_{shell=0, spin=down, 0, 0})
# [5] Im(Sigma_{shell=0, spin=down, 0, 0})
-2.880000 3.394568 -0.785534 3.405042 -0.789381 
-2.850000 3.343067 -0.709377 3.352864 -0.711533 
-2.820000 3.291691 -0.642377 3.300711 -0.643156 
-2.790000 3.241076 -0.583326 3.249273 -0.582998 
-2.760000 3.191645 -0.531163 3.199009 -0.529957 
-2.730000 3.143663 -0.484970 3.150210 -0.483076 
-2.700000 3.097283 -0.443951 3.103043 -0.441529 
-2.670000 3.052580 -0.407426 3.057593 -0.404608 
-2.640000 3.009572 -0.374808 3.013883 -0.371705 
-2.610000 2.968237 -0.345598 2.971894 -0.342299 
-2.580000 2.928530 -0.319364 2.931580 -0.315944 
-2.550000 2.890388 -0.295740 2.892878 -0.292259 
-2.520000 2.853735 -0.274406 2.855710 -0.270916 
-2.490000 2.818493 -0.255092 2.819995 -0.251633 
-2.460000 2.784578 -0.237561 2.785647 -0.234168 
-2.430000 2.751907 -0.221611 2.752579 -0.218311 
-2.400000 2.720395 -0.207064 2.720707 -0.203881 
-2.370000 2.689964 -0.193768 2.689947 -0.190720 
-2.340000 2.660532 -0.181590 2.660216 -0.178694 
-2.310000 2.632024 -0.170414 2.631438 -0.167682 
-2.280000 2.604366 -0.160138 2.603535 -0.157583 
-2.250000 2.577487 -0.150676 2.576435 -0.148305 
-2.220000 2.551318 -0.141948 2.550068 -0.139770 
-2.190000 2.525791 -0.133888 2.524365 -0.131910 
-2.160000 2.500843 -0.126438 2.499261 -0.124665 
-2.130000 2.476410 -0.119545 2.474690 -0.117982 
-2.100000 2.452430 -0.113165 2.450592 -0.111819 
-2.070000 2.428841 -0.107261 2.426902 -0.106134 
-2.040000 2.405582 -0.101800 2.403560 -0.100898 
-2.010000 2.382592 -0.096754 2.380504 -0.096081 
-1.980000 2.359808 -0.092103 2.357672 -0.091662 
-1.950000 2.337167 -0.087829 2.335000 -0.087625 
-1.920000 2.314603 -0.083921 2.312424 -0.083958 
-1.890000 2.292047 -0.080372 2.289874 -0.080655 
-1.860000 2.269426 -0.077183 2.267279 -0.077715 
-1.830000 2.246663 -0.074359 2.244564 -0.075145 
-1.800000 2.223675 -0.071913 2.221647 -0.072957 
-1.770000 2.200371 -0.069868 2.198439 -0.071174 
-1.740000 2.176652 -0.068256 2.174845 -0.069826 
-1.710000 2.152408 -0.067122 2.150758 -0.068958 
-1.680000 2.127518 -0.066525 2.126060 -0.068630 
-1.650000 2.101843 -0.066547 2.100617 -0.068918 
-1.620000 2.075229 -0.067294 2.074283 -0.069926 
-1.590000 2.047501 -0.068904 2.046888 -0.071789 
-1.560000 2.018461 -0.071559 2.018243 -0.074681 
-1.530000 1.987884 -0.075501 1.988134 -0.078834 
-1.500000 1.955519 -0.081046 1.956320 -0.084552 
-1.470000 1.921087 -0.088617 1.922534 -0.092236 
-1.440000 1.884287 -0.098779 1.886490 -0.102425 
-1.410000 1.844813 -0.112291 1.847890 -0.115838 
-1.380000 1.802382 -0.130182 1.806460 -0.133447 
-1.350000 1.756807 -0.153845 1.762006 -0.156565 
-1.320000 1.708122 -0.185162 1.714529 -0.186968 
-1.290000 1.656823 -0.226649 1.664441 -0.227032 
-1.260000 1.604290 -0.281574 1.612945 -0.279860 
-1.230000 1.553512 -0.353924 1.562693 -0.349291 
-1.200000 1.510166 -0.447921 1.518805 -0.439533 
-1.170000 1.483923 -0.566506 1.490163 -0.553888 
-1.140000 1.489046 -0.708024 1.490276 -0.691802 
-1.110000 1.541969 -0.861207 1.535646 -0.844002 
-1.080000 1.653130 -1.001809 1.638666 -0.988290 
-1.050000 1.815240 -1.098213 1.795719 -1.093020 
-1.020000 1.999845 -1.128219 1.981027 -1.132712 
-0.990000 2.171168 -1.093074 2.157899 -1.104469 
-0.960000 2.305204 -1.013477 2.299024 -1.027306 
-0.930000 2.396027 -0.914207 2.395781 -0.926983 
-0.900000 2.449602 -0.813383 2.453187 -0.823418 
-0.870000 2.475677 -0.720610 2.481200 -0.727553 
