# [1] Energy
# [2] Total DOS of spin up
# [3] Total DOS of spin down
# [4] PDOS of shell0,spin up,band0
# [5] PDOS of shell0,spin down,band0
-2.400000 0.073395 0.073503 0.073395 0.073503
-2.370000 0.075790 0.075667 0.075790 0.075667
-2.340000 0.077953 0.077668 0.077953 0.077668
-2.310000 0.079867 0.079496 0.079867 0.079496
-2.280000 0.081615 0.081201 0.081615 0.081201
-2.250000 0.083364 0.082885 0.083364 0.082885
-2.220000 0.085283 0.084647 0.085283 0.084647
-2.190000 0.087383 0.086487 0.087383 0.086487
-2.160000 0.089330 0.088184 0.089330 0.088184
-2.130000 0.090361 0.089220 0.090361 0.089220
-2.100000 0.089519 0.088880 0.089519 0.088880
-2.070000 0.086287 0.086626 0.086287 0.086626
-2.040000 0.081169 0.082570 0.081169 0.082570
-2.010000 0.075544 0.077606 0.075544 0.077606
-1.980000 0.070941 0.073021 0.070941 0.073021
-1.950000 0.068539 0.070019 0.068539 0.070019
-1.920000 0.069215 0.069574 0.069215 0.069574
-1.890000 0.073885 0.072625 0.073885 0.072625
-1.860000 0.083759 0.080389 0.083759 0.080389
-1.830000 0.099846 0.094335 0.099846 0.094335
-1.800000 0.119619 0.114195 0.119619 0.114195
-1.770000 0.131095 0.131138 0.131095 0.131138
-1.740000 0.123644 0.128635 0.123644 0.128635
-1.710000 0.109691 0.111853 0.109691 0.111853
-1.680000 0.105820 0.102263 0.105820 0.102263
-1.650000 0.119063 0.110720 0.119063 0.110720
-1.620000 0.152814 0.143821 0.152814 0.143821
-1.590000 0.196826 0.200439 0.196826 0.200439
-1.560000 0.205852 0.224965 0.205852 0.224965
-1.530000 0.168793 0.178025 0.168793 0.178025
-1.500000 0.131819 0.130149 0.131819 0.130149
-1.470000 0.112828 0.107744 0.112828 0.107744
-1.440000 0.109058 0.104641 0.109058 0.104641
-1.410000 0.115017 0.113312 0.115017 0.113312
-1.380000 0.124491 0.125433 0.124491 0.125433
-1.350000 0.132540 0.134769 0.132540 0.134769
-1.320000 0.137248 0.139728 0.137248 0.139728
-1.290000 0.137812 0.139557 0.137812 0.139557
-1.260000 0.134455 0.134951 0.134455 0.134951
-1.230000 0.128726 0.128176 0.128726 0.128176
-1.200000 0.122303 0.121160 0.122303 0.121160
-1.170000 0.116262 0.114911 0.116262 0.114911
-1.140000 0.111139 0.109841 0.111139 0.109841
-1.110000 0.107152 0.106058 0.107152 0.106058
-1.080000 0.104338 0.103516 0.104338 0.103516
-1.050000 0.102628 0.102088 0.102628 0.102088
-1.020000 0.101897 0.101611 0.101897 0.101611
-0.990000 0.101995 0.101918 0.101995 0.101918
-0.960000 0.102773 0.102852 0.102773 0.102852
-0.930000 0.104090 0.104276 0.104090 0.104276
-0.900000 0.105827 0.106076 0.105827 0.106076
-0.870000 0.107874 0.108151 0.107874 0.108151
-0.840000 0.110137 0.110410 0.110137 0.110410
-0.810000 0.112518 0.112766 0.112518 0.112766
-0.780000 0.114915 0.115120 0.114915 0.115120
-0.750000 0.117212 0.117363 0.117212 0.117363
-0.720000 0.119282 0.119376 0.119282 0.119376
-0.690000 0.120998 0.121041 0.120998 0.121041
-0.660000 0.122263 0.122270 0.122263 0.122270
-0.630000 0.123044 0.123033 0.123044 0.123033
-0.600000 0.123403 0.123396 0.123403 0.123396
-0.570000 0.123511 0.123521 0.123511 0.123521
-0.540000 0.123624 0.123655 0.123624 0.123655
-0.510000 0.124028 0.124075 0.124028 0.124075
-0.480000 0.124990 0.125040 0.124990 0.125040
-0.450000 0.126702 0.126741 0.126702 0.126741
-0.420000 0.129250 0.129266 0.129250 0.129266
-0.390000 0.132602 0.132591 0.132602 0.132591
-0.360000 0.136626 0.136591 0.136626 0.136591
-0.330000 0.141146 0.141093 0.141146 0.141093
-0.300000 0.146028 0.145964 0.146028 0.145964
-0.270000 0.151274 0.151204 0.151274 0.151204
-0.240000 0.157062 0.156987 0.157062 0.156987
-0.210000 0.163688 0.163610 0.163688 0.163610
-0.180000 0.171425 0.171350 0.171425 0.171350
-0.150000 0.180336 0.180280 0.180336 0.180280
-0.120000 0.190111 0.190094 0.190111 0.190094
-0.090000 0.199956 0.199992 0.199956 0.199992
-0.060000 0.208621 0.208713 0.208621 0.208713
-0.030000 0.214645 0.214775 0.214645 0.214775
0.000000 0.216814 0.216946 0.216814 0.216946
0.030000 0.214649 0.214745 0.214649 0.214745
0.060000 0.208628 0.208664 0.208628 0.208664
0.090000 0.199964 0.199938 0.199964 0.199938
0.120000 0.190118 0.190049 0.190118 0.190049
0.150000 0.180341 0.180251 0.180341 0.180251
0.180000 0.171427 0.171337 0.171427 0.171337
0.210000 0.163690 0.163610 0.163690 0.163610
0.240000 0.157063 0.156997 0.157063 0.156997
0.270000 0.151274 0.151222 0.151274 0.151222
0.300000 0.146028 0.145989 0.146028 0.145989
0.330000 0.141146 0.141125 0.141146 0.141125
0.360000 0.136626 0.136629 0.136626 0.136629
0.390000 0.132602 0.132630 0.132602 0.132630
0.420000 0.129251 0.129302 0.129251 0.129302
0.450000 0.126705 0.126767 0.126705 0.126767
0.480000 0.124994 0.125055 0.124994 0.125055
0.510000 0.124032 0.124079 0.124032 0.124079
0.540000 0.123626 0.123653 0.123626 0.123653
0.570000 0.123512 0.123520 0.123512 0.123520
0.600000 0.123402 0.123403 0.123402 0.123403
0.630000 0.123042 0.123054 0.123042 0.123054
0.660000 0.122263 0.122304 0.122263 0.122304
0.690000 0.121001 0.121086 0.121001 0.121086
0.720000 0.119290 0.119423 0.119290 0.119423
0.750000 0.117229 0.117403 0.117229 0.117403
0.780000 0.114942 0.115144 0.114942 0.115144
0.810000 0.112556 0.112765 0.112556 0.112765
0.840000 0.110186 0.110379 0.110186 0.110379
0.870000 0.107934 0.108082 0.107934 0.108082
0.900000 0.105895 0.105968 0.105895 0.105968
0.930000 0.104166 0.104128 0.104166 0.104128
0.960000 0.102850 0.102667 0.102850 0.102667
0.990000 0.102069 0.101706 0.102069 0.101706
1.020000 0.101957 0.101388 0.101957 0.101388
1.050000 0.102663 0.101882 0.102663 0.101882
1.080000 0.104334 0.103364 0.104334 0.103364
1.110000 0.107095 0.106007 0.107095 0.106007
1.140000 0.111016 0.109945 0.111016 0.109945
1.170000 0.116066 0.115219 0.116066 0.115219
1.200000 0.122042 0.121698 0.122042 0.121698
1.230000 0.128431 0.128916 0.128431 0.128916
1.260000 0.134196 0.135745 0.134196 0.135745
1.290000 0.137690 0.140085 0.137690 0.140085
1.320000 0.137328 0.139677 0.137328 0.139677
1.350000 0.132798 0.134117 0.132798 0.134117
1.380000 0.124845 0.124311 0.124845 0.124311
1.410000 0.115271 0.112276 0.115271 0.112276
1.440000 0.108929 0.104743 0.108929 0.104743
1.470000 0.112163 0.109675 0.112163 0.109675
1.500000 0.130702 0.134010 0.130702 0.134010
1.530000 0.167965 0.181492 0.167965 0.181492
1.560000 0.207045 0.220932 0.207045 0.220932
1.590000 0.199150 0.193545 0.199150 0.193545
1.620000 0.153653 0.141864 0.153653 0.141864
1.650000 0.118694 0.111817 0.118694 0.111817
1.680000 0.105076 0.104206 0.105076 0.104206
1.710000 0.109210 0.112897 0.109210 0.112897
1.740000 0.124004 0.127340 0.124004 0.127340
1.770000 0.132008 0.128995 0.132008 0.128995
1.800000 0.119950 0.113674 0.119950 0.113674
1.830000 0.099478 0.095190 0.099478 0.095190
1.860000 0.083133 0.081688 0.083133 0.081688
1.890000 0.073274 0.073860 0.073274 0.073860
1.920000 0.068731 0.070526 0.068731 0.070526
1.950000 0.068231 0.070589 0.068231 0.070589
1.980000 0.070835 0.073173 0.070835 0.073173
2.010000 0.075637 0.077382 0.075637 0.077382
2.040000 0.081406 0.082114 0.081406 0.082114
2.070000 0.086561 0.086154 0.086561 0.086154
2.100000 0.089714 0.088582 0.089714 0.088582
